ratio = 2.0770513278551865, flow_size = 0.005013MB
ratio = 2.3187410415671286, flow_size = 0.004443MB
ratio = 2.4418403247631937, flow_size = 0.025072MB
ratio = 2.55456462789997, flow_size = 0.002678MB
ratio = 2.557885410513881, flow_size = 0.00667MB
ratio = 2.1799493432290746, flow_size = 0.007212MB
ratio = 3.209482383645063, flow_size = 0.078968MB
ratio = 3.3453353272748187, flow_size = 0.012087MB
ratio = 2.773933034661636, flow_size = 0.007052MB
ratio = 2.833761095070046, flow_size = 0.027807MB
ratio = 3.487201963534362, flow_size = 0.008844MB
ratio = 3.209465903671912, flow_size = 0.00484MB
ratio = 2.7550741402881482, flow_size = 0.031568MB
ratio = 2.361300754581387, flow_size = 0.003912MB
ratio = 2.672764929237142, flow_size = 0.046613MB
ratio = 2.6931618495240355, flow_size = 0.911095MB
ratio = 3.467945205479452, flow_size = 0.000642MB
ratio = 2.7723754233188194, flow_size = 0.001982MB
ratio = 2.763713839875165, flow_size = 0.003463MB
ratio = 2.6247432644678024, flow_size = 0.002161MB
ratio = 2.6395462973061403, flow_size = 0.02345MB
ratio = 2.79467343805362, flow_size = 0.006718MB
ratio = 2.6782973196363207, flow_size = 0.006769MB
ratio = 2.707306711979609, flow_size = 0.00126MB
ratio = 2.156945350976087, flow_size = 0.005756MB
ratio = 3.2212420815819076, flow_size = 0.006183MB
ratio = 2.4720259128386335, flow_size = 0.007253MB
ratio = 2.1126368175655568, flow_size = 1.247529MB
ratio = 2.2066058033377915, flow_size = 0.00986MB
ratio = 2.0253782914333374, flow_size = 0.004969MB
ratio = 3.0323328452903855, flow_size = 0.000232MB
ratio = 2.4700694654183026, flow_size = 0.002172MB
ratio = 2.5815393195761294, flow_size = 0.018599MB
ratio = 3.637544132607265, flow_size = 0.00403MB
ratio = 2.693130324451695, flow_size = 0.462785MB
ratio = 2.8871987592460036, flow_size = 0.004692MB
ratio = 3.0320147593466817, flow_size = 0.024542MB
ratio = 3.120530668094473, flow_size = 0.005205MB
ratio = 4.326577505449832, flow_size = 0.00716MB
ratio = 2.8771234640433003, flow_size = 1.713078MB
ratio = 2.579438790022384, flow_size = 0.769187MB
ratio = 3.0791494028759443, flow_size = 0.000484MB
ratio = 3.034034507208698, flow_size = 0.006596MB
ratio = 2.8091995221027477, flow_size = 0.004396MB
ratio = 2.2812, flow_size = 0.01346MB
ratio = 2.9759594850204407, flow_size = 0.000193MB
ratio = 2.8077472331310247, flow_size = 0.005163MB
ratio = 2.0686274509803924, flow_size = 0.007926MB
ratio = 2.030030380930124, flow_size = 0.110982MB
ratio = 2.206825704828216, flow_size = 0.013728MB
ratio = 3.6720501514105086, flow_size = 0.029225MB
ratio = 2.0489188231123716, flow_size = 0.006614MB
ratio = 2.121097445600757, flow_size = 0.006451MB
ratio = 2.1643238002908385, flow_size = 0.001579MB
ratio = 4.360016840079389, flow_size = 0.003028MB
ratio = 3.181259237363287, flow_size = 0.006477MB
ratio = 2.424807903402854, flow_size = 0.022033MB
ratio = 3.222618256509394, flow_size = 0.002144MB
ratio = 2.4508206399811074, flow_size = 0.006764MB
ratio = 2.9424281702311514, flow_size = 0.025579MB
ratio = 3.2310447761194028, flow_size = 0.004515MB
ratio = 3.444264653002517, flow_size = 0.003769MB
ratio = 2.346897131196735, flow_size = 0.003459MB
ratio = 3.380553665811921, flow_size = 0.032655MB
ratio = 3.09737200293163, flow_size = 0.032566MB
ratio = 3.9499941169549357, flow_size = 0.007478MB
ratio = 4.103106842167675, flow_size = 0.005924MB
ratio = 2.7317261904761905, flow_size = 0.005091MB
ratio = 2.5542685794920037, flow_size = 0.007595MB
ratio = 4.244358400387198, flow_size = 0.001903MB
ratio = 3.7573625073920756, flow_size = 0.006426MB
ratio = 2.919817394357954, flow_size = 0.008526MB
ratio = 2.606171360095866, flow_size = 0.003808MB
ratio = 2.578205673328069, flow_size = 0.00107MB
ratio = 2.2178229593959933, flow_size = 0.005354MB
ratio = 2.5227760822877814, flow_size = 0.015783MB
ratio = 3.0869908334850966, flow_size = 0.0012MB
ratio = 2.8970873786407765, flow_size = 0.001279MB
ratio = 3.500805056950325, flow_size = 0.004752MB
ratio = 2.107386409007426, flow_size = 1.298401MB
ratio = 2.3149994600626327, flow_size = 0.136065MB
ratio = 3.110826356854035, flow_size = 0.014146MB
ratio = 3.2342764462065237, flow_size = 0.003275MB
ratio = 3.400356718192628, flow_size = 0.005342MB
ratio = 3.5498017688319607, flow_size = 0.000267MB
ratio = 3.5370468300135145, flow_size = 0.007732MB
ratio = 4.32086951385197, flow_size = 0.00666MB
ratio = 3.69751591280347, flow_size = 0.016472MB
ratio = 2.9321256038647343, flow_size = 0.002243MB
ratio = 2.220179017231931, flow_size = 0.000615MB
ratio = 2.317473786290078, flow_size = 0.001525MB
ratio = 2.0648170294187995, flow_size = 0.004187MB
ratio = 2.3194998826015496, flow_size = 0.007952MB
ratio = 2.3695523671341823, flow_size = 0.026696MB
ratio = 2.431145653425446, flow_size = 0.011925MB
ratio = 2.2659740571703098, flow_size = 0.003341MB
ratio = 4.001351589586884, flow_size = 0.007706MB
ratio = 3.9014468690702087, flow_size = 0.005899MB
ratio = 2.0723928360135533, flow_size = 0.026498MB
ratio = 2.538823529411765, flow_size = 0.007496MB
ratio = 2.0538156091831885, flow_size = 1.510903MB
ratio = 2.1575736243106887, flow_size = 0.008018MB
ratio = 2.044082699619772, flow_size = 0.005488MB
ratio = 2.2537169686390177, flow_size = 0.002904MB
ratio = 2.0093913671663355, flow_size = 0.00288MB
ratio = 2.2514145141451416, flow_size = 0.047135MB
ratio = 4.684620239848517, flow_size = 0.031494MB
ratio = 3.615005931198102, flow_size = 0.00584MB
ratio = 2.8122270742358078, flow_size = 0.004108MB
ratio = 2.807096392667061, flow_size = 0.006418MB
ratio = 2.576943613840239, flow_size = 0.028086MB
ratio = 2.389638978573525, flow_size = 0.04856MB
ratio = 2.56129661223495, flow_size = 0.000482MB
ratio = 2.5327667723981087, flow_size = 0.004007MB
ratio = 2.7758589457158385, flow_size = 0.00225MB
ratio = 2.1851763299462044, flow_size = 0.004265MB
ratio = 2.364768787825372, flow_size = 0.00773MB
ratio = 2.426487159717692, flow_size = 0.005861MB
ratio = 2.0423149457802925, flow_size = 0.007103MB
ratio = 2.3845395499884017, flow_size = 0.010407MB
ratio = 2.1631901111309206, flow_size = 0.005431MB
ratio = 2.5845028544243576, flow_size = 0.005298MB
ratio = 2.5418530727572404, flow_size = 0.007353MB
ratio = 3.0428579613819973, flow_size = 0.012916MB
ratio = 2.0882055552251235, flow_size = 0.005257MB
ratio = 2.427336860670194, flow_size = 0.007617MB
ratio = 2.4456508552711393, flow_size = 0.001365MB
ratio = 2.5043298732580146, flow_size = 0.012717MB
ratio = 2.0995642571479736, flow_size = 0.004554MB
ratio = 2.631532119342784, flow_size = 0.00583MB
ratio = 4.045676803816339, flow_size = 0.004764MB
ratio = 2.8231847878644762, flow_size = 0.865425MB
ratio = 5.208913813459268, flow_size = 0.006794MB
ratio = 5.380834512022631, flow_size = 0.007101MB
ratio = 2.0945291696925685, flow_size = 0.001834MB
ratio = 2.13616111034442, flow_size = 1.014733MB
ratio = 2.8353658536585367, flow_size = 0.004236MB
ratio = 2.1821223709369026, flow_size = 0.004337MB
ratio = 2.824891961970614, flow_size = 0.011739MB
ratio = 2.6497653726613444, flow_size = 0.000447MB
ratio = 3.072263674284707, flow_size = 0.007754MB
ratio = 2.293854948195784, flow_size = 0.005024MB
ratio = 2.820612485276796, flow_size = 0.007246MB
ratio = 2.5541374807075865, flow_size = 0.005663MB
ratio = 2.1678277080062793, flow_size = 0.047883MB
ratio = 2.67993383645198, flow_size = 0.843084MB
ratio = 2.2210637921894327, flow_size = 0.007208MB
ratio = 2.1372005192965893, flow_size = 0.006874MB
ratio = 2.2239692732401126, flow_size = 0.003473MB
ratio = 2.420238516944149, flow_size = 0.006775MB
ratio = 2.8271707028942705, flow_size = 0.006671MB
ratio = 2.069370455340825, flow_size = 1.951922MB
ratio = 2.3885902548985607, flow_size = 0.011073MB
ratio = 2.2807738095238097, flow_size = 0.005098MB
ratio = 2.6551362071982734, flow_size = 0.00919MB
ratio = 2.691899852724595, flow_size = 0.007185MB
ratio = 2.364806613522291, flow_size = 0.006731MB
ratio = 2.232019791482594, flow_size = 0.007212MB
ratio = 3.247668644786242, flow_size = 0.001716MB
ratio = 2.280256288561936, flow_size = 0.005792MB
ratio = 3.1026200873362444, flow_size = 0.00687MB
ratio = 2.986752999881193, flow_size = 0.00552MB
ratio = 2.7949826462887413, flow_size = 0.000617MB
ratio = 2.214337089426996, flow_size = 0.003736MB
ratio = 2.523446412488742, flow_size = 0.003374MB
ratio = 4.390786863566233, flow_size = 0.021177MB
ratio = 2.1888863480448206, flow_size = 0.013359MB
ratio = 2.51636601646476, flow_size = 1.918611MB
ratio = 3.2666033123615317, flow_size = 1.888195MB
ratio = 2.2878299295354116, flow_size = 0.004465MB
ratio = 3.309116393155405, flow_size = 0.008988MB
ratio = 4.042321428571428, flow_size = 0.005096MB
ratio = 2.004787878787879, flow_size = 0.001529MB
ratio = 4.066611932129174, flow_size = 0.022652MB
ratio = 2.4643981234040027, flow_size = 0.005577MB
ratio = 2.299496644295302, flow_size = 0.003792MB
ratio = 2.974020905923345, flow_size = 0.232633MB
ratio = 2.5663133097762074, flow_size = 0.007243MB
ratio = 2.1808039667079866, flow_size = 0.006804MB
ratio = 2.3412255449151047, flow_size = 0.00776MB
ratio = 3.925684562955877, flow_size = 0.004212MB
ratio = 2.012925097997669, flow_size = 0.029916MB
ratio = 2.5447561534933496, flow_size = 0.116821MB
ratio = 3.520094850124643, flow_size = 0.000915MB
ratio = 3.0749272694888083, flow_size = 0.005628MB
ratio = 2.2066390683638333, flow_size = 0.113002MB
ratio = 2.430051506719555, flow_size = 0.006186MB
ratio = 2.936873156342183, flow_size = 0.006914MB
ratio = 3.6280528655825566, flow_size = 0.000569MB
ratio = 3.1695704779189353, flow_size = 0.001906MB
ratio = 3.0839469808541975, flow_size = 0.015292MB
ratio = 3.1945092409833125, flow_size = 0.004134MB
