ratio = 3.978094286190238, flow_size = 0.043966MB
ratio = 2.3714506910763484, flow_size = 1.996001MB
ratio = 2.688680922953808, flow_size = 0.973901MB
ratio = 3.3835478173101188, flow_size = 0.042556MB
ratio = 2.573845108695652, flow_size = 0.251907MB
ratio = 3.0647106931097934, flow_size = 0.017423MB
ratio = 7.008590277512449, flow_size = 1.773834MB
ratio = 3.023240072202166, flow_size = 0.05933MB
ratio = 2.209462779863582, flow_size = 1.114306MB
ratio = 5.079799904716531, flow_size = 0.000909MB
ratio = 4.878147847278635, flow_size = 0.003521MB
ratio = 3.6399860363056056, flow_size = 0.189539MB
ratio = 3.9909226190476192, flow_size = 0.061025MB
ratio = 2.0937476388364185, flow_size = 4.320843MB
ratio = 7.545868246171627, flow_size = 0.065888MB
ratio = 10.411423447657477, flow_size = 1.230979MB
ratio = 2.9135018705362206, flow_size = 0.00598MB
ratio = 4.084276021162417, flow_size = 4.305987MB
ratio = 3.625789495994235, flow_size = 0.182111MB
ratio = 5.529347242428554, flow_size = 2.549242MB
ratio = 2.3907517577068687, flow_size = 0.47413MB
ratio = 4.128011804501429, flow_size = 2.996681MB
ratio = 2.5100432169013693, flow_size = 6.734281MB
ratio = 8.357032467532468, flow_size = 1.737586MB
ratio = 4.543776115051987, flow_size = 0.023488MB
ratio = 5.948151237142063, flow_size = 0.072351MB
ratio = 2.938470042947655, flow_size = 0.181236MB
ratio = 2.4586913417052214, flow_size = 0.022558MB
ratio = 9.163817649068676, flow_size = 1.052751MB
ratio = 2.8597239181274445, flow_size = 0.477051MB
ratio = 2.0626153278386026, flow_size = 0.191628MB
ratio = 2.055499495459132, flow_size = 0.030779MB
ratio = 3.8388994646804053, flow_size = 3.635033MB
ratio = 3.967148884870404, flow_size = 0.019475MB
ratio = 5.428753032790458, flow_size = 3.184671MB
ratio = 5.663264228643835, flow_size = 3.289464MB
ratio = 3.0052577983748625, flow_size = 0.52429MB
ratio = 3.9001248027394717, flow_size = 5.682786MB
ratio = 6.35502861431654, flow_size = 2.443442MB
ratio = 2.3930650684931507, flow_size = 0.040033MB
ratio = 7.554929090722916, flow_size = 1.764489MB
ratio = 4.546031746031746, flow_size = 0.005967MB
ratio = 2.037885199382685, flow_size = 0.140322MB
ratio = 7.669567587154892, flow_size = 3.933132MB
ratio = 3.2355119365036797, flow_size = 6.888625MB
ratio = 4.035465844796353, flow_size = 3.318MB
ratio = 2.534643208212421, flow_size = 3.953439MB
ratio = 14.455771794188216, flow_size = 0.795554MB
ratio = 2.043259130890118, flow_size = 3.777087MB
ratio = 4.4790354972136885, flow_size = 4.384833MB
ratio = 3.288142751557386, flow_size = 0.013716MB
ratio = 2.710493524100514, flow_size = 9.472732MB
ratio = 2.091610587707492, flow_size = 0.033681MB
ratio = 7.101711067792939, flow_size = 1.828156MB
ratio = 5.102516654330126, flow_size = 0.029661MB
ratio = 2.1876707924770935, flow_size = 0.049125MB
ratio = 2.6416881206325855, flow_size = 0.030464MB
ratio = 4.238932502865547, flow_size = 3.761339MB
ratio = 5.022364381635138, flow_size = 1.987092MB
ratio = 7.1152403910539705, flow_size = 0.078884MB
ratio = 5.2534278110813375, flow_size = 2.491321MB
ratio = 7.046108053007136, flow_size = 1.363352MB
ratio = 2.538421920065925, flow_size = 0.01654MB
ratio = 2.028933654818387, flow_size = 0.054084MB
ratio = 2.088174064871399, flow_size = 0.127998MB
ratio = 8.000577607085313, flow_size = 1.077802MB
ratio = 4.16328796215851, flow_size = 1.630539MB
ratio = 2.6573221272154917, flow_size = 13.787245MB
ratio = 3.6436851211072665, flow_size = 0.038631MB
ratio = 2.4783319323806854, flow_size = 0.156141MB
ratio = 4.920381950882398, flow_size = 2.780868MB
ratio = 6.362962962962963, flow_size = 0.048588MB
ratio = 6.60327320511289, flow_size = 0.000596MB
ratio = 3.0513495720868993, flow_size = 0.063818MB
ratio = 8.350874700653488, flow_size = 1.713508MB
ratio = 3.522704339051463, flow_size = 0.009462MB
ratio = 6.119332528268745, flow_size = 0.009386MB
ratio = 2.443176002834311, flow_size = 0.506739MB
ratio = 2.7108083966056276, flow_size = 0.11438MB
ratio = 4.248520023215322, flow_size = 0.003507MB
ratio = 2.5673377604441163, flow_size = 0.240199MB
ratio = 5.462866769232466, flow_size = 4.22678MB
ratio = 2.188679245283019, flow_size = 0.0787MB
ratio = 3.6719380502567867, flow_size = 6.143491MB
ratio = 6.672037288683208, flow_size = 4.921395MB
ratio = 2.8130498315092596, flow_size = 1.900573MB
ratio = 4.257123914711157, flow_size = 4.596271MB
ratio = 2.5668447287084843, flow_size = 0.568354MB
ratio = 6.4967865099372695, flow_size = 3.205519MB
ratio = 7.611068007919097, flow_size = 1.684029MB
ratio = 3.7585062182616844, flow_size = 8.426881MB
ratio = 3.599160265856559, flow_size = 6.610662MB
