time: 2000000000
32 1 1
32 2 1
32 3 1
32 4 1
32 5 1
32 6 1
32 7 1
32 8 1
33 1 1
33 2 1
33 3 1
33 4 1
33 5 1
33 6 1
33 7 1
33 8 1
34 1 1
34 2 1
34 3 1
34 4 1
34 5 1
34 6 1
34 7 1
34 8 1
35 1 1
35 2 1
35 3 1
35 4 1
35 5 1
35 6 1
35 7 1
35 8 1
36 1 1
36 2 1
36 3 1
36 4 1
36 5 1
36 6 1
36 7 1
36 8 1
37 1 1
37 2 1
37 3 1
37 4 1
37 5 1
37 6 1
37 7 1
37 8 1
38 1 1
38 2 1
38 3 1
38 4 1
38 5 1
38 6 1
38 7 1
38 8 1
39 1 1
39 2 1
39 3 1
39 4 1
39 5 1
39 6 1
39 7 1
39 8 1
40 1 1
40 2 1
40 3 1
40 4 1
40 5 1
41 1 1
41 2 1
41 3 1
41 4 1
41 5 1
42 1 1
42 2 1
42 3 1
42 4 1
42 5 1
43 1 1
43 2 1
43 3 1
43 4 1
43 5 1
44 1 1
44 2 1
44 3 1
44 4 1
44 5 1
45 1 1
45 2 1
45 3 1
45 4 1
45 5 1
46 1 1
46 2 1
46 3 1
46 4 1
46 5 1
47 1 1
47 2 1
47 3 1
47 4 1
47 5 1
48 1 1
48 2 1
48 3 1
48 4 1
48 5 1
49 1 1
49 2 1
49 3 1
49 4 1
49 5 1
